1720654678368,2
1720654678369,1
1720654678370,0
1720654678371,0
1720654678372,0
1720654678373,0
1720654678374,1
1720654678375,2
1720654678376,1
1720654678377,0
1720654678378,1
1720654678379,1
1720654678380,0
1720654678381,0
1720654678382,0
1720654678383,1
1720654678384,2
1720654678385,0
1720654678386,1
1720654678387,1
1720654678388,0
1720654678389,0
1720654678390,0
1720654678391,0
1720654678392,0
1720654678393,0
1720654678394,0
1720654678395,0
1720654678396,0
1720654678397,0
1720654678398,0
1720654678399,0
1720654678400,1
1720654678401,7
1720654678402,1
1720654678403,0
1720654678404,1
1720654678405,1
1720654678406,0
1720654678407,1
1720654678408,1
1720654678409,0
1720654678410,1
1720654678411,0
1720654678412,1
1720654678413,1
1720654678414,0
1720654678415,1
1720654678416,0
1720654678417,0
1720654678418,0
1720654678419,0
1720654678420,1
1720654678421,2
1720654678422,1
1720654678423,0
1720654678424,1
1720654678425,0
1720654678426,0
1720654678427,0
1720654678428,2
1720654678429,1
1720654678430,1
1720654678431,0
1720654678432,1
1720654678433,0
1720654678434,0
1720654678435,1
1720654678436,1
1720654678437,1
1720654678438,1
1720654678439,0
1720654678440,1
1720654678441,0
1720654678442,1
1720654678443,1
1720654678444,0
1720654678445,1
1720654678446,1
1720654678447,0
1720654678448,1
1720654678449,0
1720654678450,1
1720654678451,1
1720654678452,0
1720654678453,1
1720654678454,0
1720654678455,1
1720654678456,1
1720654678457,0
1720654678458,1
1720654678459,0
1720654678460,1
1720654678461,1
1720654678462,0
1720654678463,0
1720654678464,0
1720654678465,0
1720654678466,1
1720654678467,2
1720654678468,1
1720654678469,1
1720654678470,0
1720654678471,1
1720654678472,0
1720654678473,1
1720654678474,1
1720654678475,0
1720654678476,0
1720654678477,0
1720654678478,1
1720654678479,1
1720654678480,1
1720654678481,0
1720654678482,1
1720654678483,0
1720654678484,0
1720654678485,1
1720654678486,1
1720654678487,1
1720654678488,1
1720654678489,0
1720654678490,1
1720654678491,1
1720654678492,0
1720654678493,1
1720654678494,0
1720654678495,1
1720654678496,0
1720654678497,0
1720654678498,1
1720654678499,0
1720654678500,0
1720654678501,0
1720654678502,3
1720654678503,0
1720654678504,1
1720654678505,1
1720654678506,0
1720654678507,1
1720654678508,0
1720654678509,1
1720654678510,1
1720654678511,0
1720654678512,1
1720654678513,1
1720654678514,0
1720654678515,1
1720654678516,1
1720654678517,0
1720654678518,1
1720654678519,0
1720654678520,0
1720654678521,0
1720654678522,0
1720654678523,3
1720654678524,1
1720654678525,0
1720654678526,1
1720654678527,0
1720654678528,0
1720654678529,0
1720654678530,2
1720654678531,1
1720654678532,1
1720654678533,0
1720654678534,1
1720654678535,0
1720654678536,1
1720654678537,1
